Source;Target;Type;Id;Label;Weight
1.0;2.0;Directed;;;1
1.0;2.0;Directed;;;1
3.0;2.1;Directed;;;1
3.0;2.0;Directed;;;1
3.1;2.0;Directed;;;1
3.2;2.1;Directed;;;1
3.2;2.0;Directed;;;1
3.3;2.1;Directed;;;1
3.4;2.0;Directed;;;1
3.4;2.1;Directed;;;1
3.5;2.0;Directed;;;1
3.6;2.2;Directed;;;1
3.7;2.0;Directed;;;1
3.8;2.0;Directed;;;1
3.9;2.2;Directed;;;1
3.10;2.0;Directed;;;1
3.11;2.1;Directed;;;1
3.12;2.3;Directed;;;1
3.13;2.3;Directed;;;1
3.14;2.4;Directed;;;1
3.15;2.3;Directed;;;1
3.16;2.2;Directed;;;1
3.7;2.2;Directed;;;1
3.17;2.5;Directed;;;1
3.18;2.0;Directed;;;1
3.19;2.2;Directed;;;1
3.20;2.0;Directed;;;1
3.21;2.6;Directed;;;1
3.22;2.7;Directed;;;1
3.2;2.5;Directed;;;1
3.23;2.3;Directed;;;1
3.24;2.7;Directed;;;1
3.25;2.2;Directed;;;1
3.26;2.4;Directed;;;1
3.27;2.7;Directed;;;1
3.28;2.0;Directed;;;1
3.29;2.6;Directed;;;1
3.30;2.7;Directed;;;1
3.17;2.1;Directed;;;1
3.14;2.5;Directed;;;1
3.31;2.4;Directed;;;1
3.32;2.5;Directed;;;1
3.3;2.7;Directed;;;1
3.33;2.3;Directed;;;1
3.34;2.7;Directed;;;1
3.35;2.7;Directed;;;1
3.31;2.0;Directed;;;1
3.0;2.4;Directed;;;1
3.36;2.8;Directed;;;1
3.37;2.9;Directed;;;1
3.38;2.7;Directed;;;1
3.15;2.9;Directed;;;1
3.39;2.8;Directed;;;1
3.40;2.10;Directed;;;1
3.29;2.3;Directed;;;1
3.41;2.2;Directed;;;1
3.42;2.11;Directed;;;1
3.43;2.7;Directed;;;1
3.44;2.12;Directed;;;1
3.45;2.5;Directed;;;1
3.24;2.1;Directed;;;1
3.46;2.13;Directed;;;1
3.47;2.6;Directed;;;1
3.26;2.5;Directed;;;1
3.48;2.0;Directed;;;1
3.49;2.7;Directed;;;1
3.10;2.4;Directed;;;1
3.50;2.5;Directed;;;1
3.9;2.12;Directed;;;1
3.13;2.11;Directed;;;1
3.51;2.4;Directed;;;1
3.52;2.14;Directed;;;1
3.53;2.10;Directed;;;1
3.54;2.0;Directed;;;1
3.55;2.15;Directed;;;1
3.56;2.6;Directed;;;1
3.57;2.8;Directed;;;1
3.15;2.10;Directed;;;1
3.35;2.14;Directed;;;1
3.5;2.10;Directed;;;1
3.58;2.12;Directed;;;1
3.59;2.8;Directed;;;1
4.0;2.5;Directed;;;1
4.0;2.9;Directed;;;1
4.1;2.0;Directed;;;1
4.2;2.16;Directed;;;1
4.2;2.0;Directed;;;1
4.3;2.3;Directed;;;1
4.4;2.5;Directed;;;1
4.0;2.16;Directed;;;1
4.5;2.17;Directed;;;1
4.6;2.11;Directed;;;1
4.1;2.17;Directed;;;1
4.7;2.18;Directed;;;1
4.8;2.0;Directed;;;1
4.9;2.3;Directed;;;1
4.10;2.8;Directed;;;1
4.11;2.17;Directed;;;1
4.12;2.19;Directed;;;1
4.13;2.20;Directed;;;1
4.6;2.2;Directed;;;1
4.14;2.21;Directed;;;1
4.2;2.14;Directed;;;1
4.15;2.19;Directed;;;1
4.16;2.16;Directed;;;1
4.17;2.16;Directed;;;1
4.8;2.4;Directed;;;1
4.18;2.5;Directed;;;1
4.18;2.2;Directed;;;1
4.19;2.17;Directed;;;1
4.20;2.17;Directed;;;1
4.21;2.22;Directed;;;1
4.22;2.23;Directed;;;1
4.4;2.23;Directed;;;1
4.23;2.13;Directed;;;1
4.24;2.6;Directed;;;1
4.25;2.16;Directed;;;1
4.26;2.18;Directed;;;1
4.27;2.24;Directed;;;1
4.28;2.25;Directed;;;1
4.29;2.5;Directed;;;1
4.30;2.26;Directed;;;1
4.31;2.4;Directed;;;1
4.32;2.15;Directed;;;1
4.24;2.18;Directed;;;1
4.11;2.14;Directed;;;1
4.33;2.11;Directed;;;1
4.13;2.3;Directed;;;1
4.34;2.27;Directed;;;1
4.35;2.12;Directed;;;1
4.19;2.2;Directed;;;1
4.36;2.12;Directed;;;1
4.37;2.28;Directed;;;1
4.38;2.8;Directed;;;1
4.39;2.14;Directed;;;1
4.28;2.28;Directed;;;1
4.40;2.29;Directed;;;1
4.41;2.30;Directed;;;1
4.42;2.21;Directed;;;1
4.42;2.17;Directed;;;1
4.9;2.21;Directed;;;1
4.43;2.9;Directed;;;1
4.44;2.10;Directed;;;1
4.45;2.31;Directed;;;1
4.46;2.32;Directed;;;1
4.47;2.3;Directed;;;1
4.32;2.12;Directed;;;1
4.48;2.33;Directed;;;1
4.5;2.31;Directed;;;1
4.49;2.23;Directed;;;1
4.13;2.6;Directed;;;1
4.50;2.10;Directed;;;1
4.11;2.11;Directed;;;1
4.51;2.13;Directed;;;1
4.52;2.34;Directed;;;1
4.53;2.35;Directed;;;1
4.41;2.25;Directed;;;1
4.54;2.10;Directed;;;1
4.55;2.5;Directed;;;1
4.56;2.0;Directed;;;1
4.57;2.11;Directed;;;1
4.58;2.8;Directed;;;1
5.0;2.36;Directed;;;1
5.1;2.32;Directed;;;1
5.2;2.14;Directed;;;1
